Region,Specialisms,ServiceTypes,Count
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Home hospice care,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Homecare agencies,72
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Homecare agencies|Supported living,7
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Hospice,7
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Hospital,7
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Hospital|Community services - Healthcare|Long-term conditions|Community services - Mental Health|Rehabilitation (illness/injury)|Urgent care centres,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Mobile doctors,3
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Nursing homes,8
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Nursing homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Phone/online advice,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Prison healthcare,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Rehabilitation (illness/injury),6
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Residential homes,12
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Supported housing,3
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs,Supported living,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Eating disorders,Nursing homes|Supported living,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Ambulances,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,28
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Hospice,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Hospital,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,12
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Residential homes,4
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Residential homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Supported housing,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems,Community services - Substance abuse,2
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems,Doctors/GPs|Doctors/GPs|Community services - Substance abuse,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems,Rehabilitation (substance abuse),3
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems,Rehabilitation (substance abuse)|Community services - Substance abuse,1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders,Rehabilitation (substance abuse),1
East,Caring for adults under 65 yrs|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Doctors/GPs|Doctors/GPs,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Homecare agencies,29
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Homecare agencies|Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Nursing homes,41
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Nursing homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Nursing homes|Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Residential homes,89
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Residential homes|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs,Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Community services - Mental Health|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,135
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,4
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,49
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Residential homes,41
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities,Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Prison healthcare,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies,7
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies|Community services - Learning disabilities|Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs,Nursing homes,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs,Residential homes,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,38
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,4
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Residential homes,3
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Residential homes|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Nursing homes,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Community services - Nursing|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,5
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Nursing homes,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Residential homes,3
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,4
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems,Hospital|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Community services - Nursing|Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,34
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,13
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,4
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Residential homes,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Supported housing,2
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities,Homecare agencies|Homecare agencies,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,10
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Nursing homes,8
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Nursing homes|Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Residential homes,16
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs,Supported living,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,6
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Physical disabilities,Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Physical disabilities,Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems,Residential homes,2
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Eating disorders|Physical disabilities,Homecare agencies,2
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,57
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,15
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,18
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Residential homes,9
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Supported housing,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems|Eating disorders|Physical disabilities,Homecare agencies,4
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Residential homes,1
East,Caring for adults under 65 yrs|Dementia|Mental health conditions|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Eating disorders,Residential homes,2
East,Caring for adults under 65 yrs|Learning disabilities,Homecare agencies,7
East,Caring for adults under 65 yrs|Learning disabilities,Homecare agencies|Supported living,7
East,Caring for adults under 65 yrs|Learning disabilities,Nursing homes,1
East,Caring for adults under 65 yrs|Learning disabilities,Residential homes,108
East,Caring for adults under 65 yrs|Learning disabilities,Residential homes|Homecare agencies,2
East,Caring for adults under 65 yrs|Learning disabilities,Residential homes|Supported living,2
East,Caring for adults under 65 yrs|Learning disabilities,Supported living,11
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies,7
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Homecare agencies|Supported living,18
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Nursing homes,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Residential homes,54
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Residential homes|Homecare agencies,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Residential homes|Supported living,2
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Shared lives,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs,Supported living,8
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported housing|Supported living,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,3
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Nursing homes|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Residential homes,11
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Shared lives,1
East,Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities,Supported living,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Homecare agencies,5
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Homecare agencies|Supported living,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Residential homes,12
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions,Supported living,4
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,6
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies|Supported living,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Nursing homes,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Residential homes,13
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs,Supported living,4
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Residential homes,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Physical disabilities,Long-term conditions|Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,8
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies|Supported living,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Residential homes,12
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Residential homes|Long-term conditions|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Residential homes|Shared lives,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Residential homes,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Supported housing,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Substance misuse problems,Supported living,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities,Homecare agencies,2
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities,Homecare agencies|Supported living,2
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities,Residential homes,3
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Physical disabilities,Supported living,5
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Substance misuse problems,Homecare agencies,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Substance misuse problems|Eating disorders,Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Substance misuse problems|Physical disabilities,Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Substance misuse problems|Physical disabilities,Residential homes,1
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Homecare agencies|Homecare agencies,1
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Nursing homes|Rehabilitation (illness/injury),2
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Nursing homes|Residential homes,1
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Residential homes,17
East,Caring for adults under 65 yrs|Learning disabilities|Physical disabilities,Supported living,3
East,Caring for adults under 65 yrs|Mental health conditions,Residential homes,9
East,Caring for adults under 65 yrs|Mental health conditions,Supported living,2
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Community services - Mental Health,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Homecare agencies,3
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Nursing homes,3
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Residential homes,11
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Supported housing,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs,Supported living,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Ambulances|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Community services - Healthcare|Hospitals - Mental health/capacity|Rehabilitation (illness/injury)|Rehabilitation (substance abuse),1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Doctors/GPs|Doctors/GPs|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,5
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems,Residential homes,2
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Community services - Healthcare|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Community services - Mental Health|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Eating disorders,Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Homecare agencies,4
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Nursing homes,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities,Supported living,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act,Hospitals - Mental health/capacity|Rehabilitation (illness/injury),1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act,Residential homes,2
East,Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Eating disorders,Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders,Community services - Mental Health|Hospitals - Mental health/capacity,1
East,Caring for adults under 65 yrs|Mental health conditions|Eating disorders,Residential homes,1
East,Caring for adults under 65 yrs|Mental health conditions|Substance misuse problems,Residential homes,1
East,Caring for adults under 65 yrs|Physical disabilities,Homecare agencies,1
East,Caring for adults under 65 yrs|Physical disabilities,Homecare agencies|Supported living,1
East,Caring for adults under 65 yrs|Physical disabilities,Hospital|Diagnosis/screening,1
East,Caring for adults under 65 yrs|Physical disabilities,Nursing homes,2
East,Caring for adults under 65 yrs|Substance misuse problems,Community services - Substance abuse,1
East,Caring for adults under 65 yrs|Substance misuse problems,Rehabilitation (substance abuse),2
East,Caring for children (0 - 18yrs),Community services - Healthcare,6
East,Caring for children (0 - 18yrs),Dentist,1
East,Caring for children (0 - 18yrs),Diagnosis/screening,1
East,Caring for children (0 - 18yrs),Doctors/GPs|Doctors/GPs,2
East,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs,Clinic,1
